figure_type,figure_no,title_name,variable,variable_rename,facet_variable,flip_sign,regions,models,years,scenarios,type,x,y,facet1,facet2,linetype,color,page_filter,scales
timeseriesplot,14,Final Energy by Sector - Percent Electricity,Final Energy|Transportation|Percent Electricity,Transportation,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,14,Final Energy by Sector - Percent Electricity,Final Energy|Percent Electricity,Total Electricity,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,15,Electricity Generation,Secondary Energy|Electricity|Coal,Coal,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,15,Electricity Generation,Secondary Energy|Electricity|Gas,Gas,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,15,Electricity Generation,Secondary Energy|Electricity|Oil,Oil,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,15,Electricity Generation,Secondary Energy|Electricity|Solar,Solar,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,15,Electricity Generation,Secondary Energy|Electricity|Wind,Wind,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,15,Electricity Generation,Secondary Energy|Electricity,Total Electricity,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,16,Electricity Capacity,Capacity|Electricity|Coal,Coal,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,16,Electricity Capacity,Capacity|Electricity|Gas,Gas,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,16,Electricity Capacity,Capacity|Electricity|Oil,Oil,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,16,Electricity Capacity,Capacity|Electricity|Solar,Solar,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,16,Electricity Capacity,Capacity|Electricity|Storage Capacity,Storage,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,16,Electricity Capacity,Capacity|Electricity|Wind,Wind,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,16,Electricity Capacity,Capacity|Electricity,Total Electricity,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,17,Final Energy - Buildings,Final Energy|Buildings|Coal,Coal,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,17,Final Energy - Buildings,Final Energy|Buildings|Gas,Gas,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,17,Final Energy - Buildings,Final Energy|Buildings|Oil,Oil,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,17,Final Energy - Buildings,Final Energy|Buildings|Electricity,Electricity,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,17,Final Energy - Buildings,Final Energy|Buildings,Total Energy,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,18,Final Energy - Industry,Final Energy|Industry|Coal,Coal,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,18,Final Energy - Industry,Final Energy|Industry|Gas,Gas,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,18,Final Energy - Industry,Final Energy|Industry|Oil,Oil,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,18,Final Energy - Industry,Final Energy|Industry|Electricity,Electricity,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
