model,scenario,variable,unit,2025,2030,2035
NEMS-OP,Opt-IRA.Adv,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1402.612732,841.490448,711.765197
NEMS-OP,Opt-IRA.Adv,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1268.80957,970.119629,929.613037
NEMS-OP,Opt-IRA.Adv,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1791.015991,1561.681152,1322.033325
NEMS-OP,IRA,Emissions|F-gases|HFCs,Mt CO2e/yr,150,153,124
NEMS-OP,IRA,Emissions|F-gases|PFCs,Mt CO2e/yr,5,5,5
NEMS-OP,IRA,Emissions|F-gases|SF6,Mt CO2e/yr,5,4,4
NEMS-OP,IRA,Emissions|F-gases|NF3,Mt CO2e/yr,1,1,1
NEMS-RHG,IRA,Carbon Sequestration|LULUCF,Mt CO2/yr,,,
NEMS-RHG,IRA,Emissions|CH4,Mt CO2/yr,,,
NEMS-RHG,IRA,Emissions|CO2,Mt CO2e/yr,,,
NEMS-RHG,IRA,Emissions|GHG|Agriculture,Mt CO2e/yr,,,
NEMS-RHG,IRA,Emissions|GHG|Energy,Mt CO2e/yr,,,
NEMS-RHG,IRA,Emissions|GHG|Industrial Processes,Mt CO2e/yr,,,
NEMS-RHG,IRA,Emissions|GHG|Net,Mt CO2e/yr,,,
NEMS-RHG,IRA,Emissions|GHG|Total Gross,Mt CO2e/yr,,,
NEMS-RHG,IRA,Emissions|GHG|Transportation,Mt CO2e/yr,,,
NEMS-RHG,IRA,Emissions|GHG|Waste,Mt CO2e/yr,,,
NEMS-RHG,IRA,Emissions|N2O,Mt CO2e/yr,,,
NEMS-RHG,IRA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1194.845278,482.8198467,588.5355894
NEMS-RHG,IRA,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1448.528023,915.6847613,967.4751029
NEMS-RHG,IRA,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1121.967809,937.6841386,844.772202
NEMS-RHG,IRA,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1647.689993,1508.597345,1387.059006
NEMS-RHG,IRA,Emissions|F-gases|HFCs,Mt CO2e/yr,150,153,124
NEMS-RHG,IRA,Emissions|F-gases|PFCs,Mt CO2e/yr,5,5,5
NEMS-RHG,IRA,Emissions|F-gases|SF6,Mt CO2e/yr,5,4,4
NEMS-RHG,IRA,Emissions|F-gases|NF3,Mt CO2e/yr,1,1,1
REGEN-EPRI,IRA,Carbon Sequestration|LULUCF,Mt CO2/yr,,,
REGEN-EPRI,IRA,Emissions|CH4,Mt CO2/yr,,,
REGEN-EPRI,IRA,Emissions|CO2,Mt CO2e/yr,,,
REGEN-EPRI,IRA,Emissions|F-gases|HFCs,Mt CO2e/yr,150,153,124
REGEN-EPRI,IRA,Emissions|F-gases|PFCs,Mt CO2e/yr,5,5,5
REGEN-EPRI,IRA,Emissions|F-gases|SF6,Mt CO2e/yr,5,4,4
REGEN-EPRI,IRA,Emissions|F-gases|NF3,Mt CO2e/yr,1,1,1
REGEN-EPRI,IRA,Emissions|GHG|Agriculture,Mt CO2e/yr,,,
REGEN-EPRI,IRA,Emissions|GHG|Energy,Mt CO2e/yr,,,
REGEN-EPRI,IRA,Emissions|GHG|Industrial Processes,Mt CO2e/yr,,,
REGEN-EPRI,IRA,Emissions|GHG|Net,Mt CO2e/yr,,,
REGEN-EPRI,IRA,Emissions|GHG|Total Gross,Mt CO2e/yr,,,
REGEN-EPRI,IRA,Emissions|GHG|Transportation,Mt CO2e/yr,,,
REGEN-EPRI,IRA,Emissions|GHG|Waste,Mt CO2e/yr,,,
REGEN-EPRI,IRA,Emissions|N2O,Mt CO2e/yr,,,
REGEN-EPRI,IRA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1325.90851,999.6662542,500.0375196
REGEN-EPRI,IRA.High,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1305.732739,1062.419276,309.2126285
REGEN-EPRI,IRA.Low,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1355.40241,1155.621161,950.8940704
REGEN-EPRI,IRA,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1337.169639,1071.832407,737.8205431
REGEN-EPRI,IRA,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1389.517375,1279.635446,1044.22399
REGEN-EPRI,IRA,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1732.869354,1569.146661,1376.147619
REGEN-EPRI,IRA.High,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,523.3365524,491.9030549,468.5409598
REGEN-EPRI,IRA.High,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,923.5157068,929.8777997,863.9506377
