usproj_category,usproj_sector,usproj_source,usproj_subsource,region,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Electronics,IPPU,Electronics,Electronics,USA,PFCs,MMTCO2e,2.5,2.5,2.5,3.2,3.5,4.4,4.9,5.2,6.3,6.4,5.5,3.9,3.8,3.5,3.2,3,3.2,3,2.7,1.9,2.5,3.4,3,2.7,2.8,2.8,2.7,2.7,2.9,2.6,2.5,2.6,2.7,2.74,2.75,2.77,2.79,2.82,2.85,2.88,2.92,2.96,3,3.04,3.09,3.14,3.19,3.25,3.3,3.36,3.42,3.48,3.54,3.61,3.67,3.74,3.81,3.88,3.95,4.02,4.09
Electronics,IPPU,Electronics,Electronics,USA,SF6,MMTCO2e,0.5,0.5,0.5,0.6,0.7,0.9,1,1,1.3,1.3,1,0.7,0.6,0.8,0.7,0.8,0.8,0.6,0.6,0.4,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.7,0.8,0.8,0.8,0.9,0.8,0.67,0.67,0.66,0.65,0.65,0.64,0.63,0.62,0.62,0.61,0.6,0.59,0.59,0.58,0.57,0.57,0.56,0.55,0.54,0.54,0.53,0.52,0.52,0.51,0.5,0.5,0.49,0.48
Enteric,Agriculture,Enteric,Enteric,USA,CH4,MMTCO2e,163.48,163.7,168.45,170.88,173.95,177.85,176.78,173.35,171.45,171.6,169.83,168.8,169.1,169.2,166.05,168.05,170.83,173.68,173.02,172.1,170.4,168.18,166,164.88,162.98,165.98,171.33,174.95,175.7,176.12,175.25,175.43,171.95,167.62,164.55,166.88,169.88,173.45,176.41,177.93,178.68,178.8,178.44,177.89,178.98,180.07,181.15,182.24,183.33,184.42,185.51,186.6,187.69,188.78,189.87,190.96,192.05,193.14,194.23,195.32,196.41
FFCCom,Energy,FFC,FFCCom,USA,CO2,MMTCO2e,228.3,232.7,228,223,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229,240.1,238,227.1,211.8,223.1,227.5,227.7,224.3,224.6,200.4,224.3,232.6,244.8,231.9,232.4,246.3,251.7,229.3,237.5,258.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFCElec,Energy,FFC,FFCElec,USA,CO2,MMTCO2e,1820,1817.4,1830.7,1906.2,1930.5,1947.2,2020.2,2087.5,2176.6,2189.7,2296.2,2257.2,2272.2,2303.7,2335.1,2400.1,2344.4,2411.1,2359.3,2145.3,2258.6,2158.1,2023.3,2038.3,2037.2,1900.6,1808.9,1732,1753.4,1606.7,1439.6,1540.9,1531.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFCInd,Energy,FFC,FFCInd,USA,CO2,MMTCO2e,876.5,866.7,889.1,891.2,890.8,907.5,926.7,921.8,905.6,863.6,887.2,866.6,858,852.4,877.4,847.6,868.4,858.6,825,751.9,791.1,793.4,793.9,825.8,820.8,793,788.3,780.4,810.5,809.8,762,780.5,801.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFCRes,Energy,FFC,FFCRes,USA,CO2,MMTCO2e,338.6,347.7,354,366.1,357,353.1,383.5,365,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,335.9,334.5,326.3,282.5,329.3,346.7,317.6,293.2,294,338.9,342.9,314.8,318,334.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFCTrans,Transportation,FFC,FFCTrans,USA,CO2,MMTCO2e,1468.9,1422.3,1477.6,1508.6,1553.9,1580.7,1627.4,1643.5,1678.9,1746.3,1792.2,1762.5,1803,1812,1845.2,1858.6,1859.1,1860.7,1759.7,1688.5,1696.6,1670.4,1659.4,1669,1707.3,1718.4,1757.9,1780.3,1813.1,1816.6,1572.8,1753.5,1751.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFCUST,Energy,FFC,FFCUST,USA,CO2,MMTCO2e,20,19.2,21.9,22.6,24.7,21.5,19.8,20.1,19.4,15.5,37,49.7,45.2,50.4,52.9,51.9,51.3,46.6,38.5,39,34.5,34.1,33,28.1,28.3,28.5,26.2,25.9,25.9,24.8,23.3,23.8,22.6,22.03,21.62,21.2,20.63,19.9,19.18,18.46,17.55,16.93,16.43,16.13,15.84,15.53,15.32,15.13,14.97,14.86,14.6,14.58,14.33,14.29,14.23,14.21,14.22,14.26,14.24,14.21,14.21
Ferroalloy,IPPU,Ferroalloy,Ferroalloy,USA,CH4,MMTCO2e,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
