usproj_category,usproj_sector,usproj_source,usproj_subsource,region,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
EPS,IPPU,EPS,EPS,USA,SF6,MMTCO2e,24.7,23.6,23.6,22.8,21.5,19.8,18.1,16.6,14.1,14.5,14,13.7,13,12.5,12.2,11.8,11,10.2,10.2,9,7.8,7.1,6.1,5.9,6,5.3,5.4,5.3,5,6.1,5.9,6,5.1,5.31,5.53,5.75,5.99,6.23,6.49,6.76,7.03,7.32,7.62,7.93,8.26,8.6,8.95,9.32,9.7,10.1,10.51,10.94,11.39,11.86,12.34,12.85,13.38,13.93,14.5,15.09,15.71
Electronics,IPPU,Electronics,Electronics,USA,HFCs,MMTCO2e,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.39,0.43,0.53,0.65,0.8,0.97,1.12,1.32,1.43,1.54,1.65,1.76,1.86,1.97,2.08,2.19,2.3,2.41,2.52,2.63,2.74,2.85,2.96,3.07,3.18,3.29,3.4,3.51
Electronics,IPPU,Electronics,Electronics,USA,N2O,MMTCO2e,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.32,0.36,0.45,0.54,0.68,0.83,0.95,1.12,1.21,1.31,1.4,1.49,1.59,1.68,1.78,1.87,1.96,2.06,2.15,2.25,2.34,2.43,2.53,2.62,2.72,2.81,2.9,3
Electronics,IPPU,Electronics,Electronics,USA,NF3,MMTCO2e,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.5,0.5,0.5,0.4,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.76,0.84,1.03,1.24,1.53,1.85,2.11,2.48,2.68,2.88,3.09,3.29,3.49,3.7,3.9,4.1,4.31,4.51,4.71,4.92,5.12,5.32,5.52,5.73,5.93,6.13,6.34,6.54
Electronics,IPPU,Electronics,Electronics,USA,PFCs,MMTCO2e,2.5,2.5,2.5,3.2,3.5,4.4,4.9,5.2,6.3,6.4,5.5,3.9,3.8,3.5,3.2,3,3.2,3,2.7,1.9,2.5,3.4,3,2.7,2.8,2.8,2.7,2.7,2.9,2.6,2.5,2.6,2.7,2.72,2.95,3.5,4.06,4.83,5.68,6.37,7.38,7.93,8.48,9.04,9.59,10.14,10.69,11.24,11.79,12.35,12.9,13.45,14,14.55,15.1,15.65,16.21,16.76,17.31,17.86,18.41
Electronics,IPPU,Electronics,Electronics,USA,SF6,MMTCO2e,0.5,0.5,0.5,0.6,0.7,0.9,1,1,1.3,1.3,1,0.7,0.6,0.8,0.7,0.8,0.8,0.6,0.6,0.4,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.7,0.8,0.8,0.8,0.9,0.8,0.89,0.96,1.12,1.29,1.5,1.75,1.94,2.23,2.39,2.55,2.71,2.87,3.03,3.19,3.35,3.5,3.66,3.82,3.98,4.14,4.3,4.46,4.62,4.78,4.93,5.09,5.25,5.41
Enteric,Agriculture,Enteric,Enteric,USA,CH4,MMTCO2e,183.1,183.3,188.7,191.4,194.8,199.2,198,194.1,192,192.2,190.2,189,189.4,189.5,186,188.2,191.3,194.5,193.8,192.8,190.8,188.3,185.9,184.7,182.5,185.9,191.9,195.9,196.8,197.3,196.3,196.5,192.6,194.66,191.82,191.18,193.64,196.45,199.34,202.68,204.11,205,205.02,205.03,205.38,205.72,206.05,206.39,206.73,207.06,207.4,207.74,208.07,208.41,208.75,209.09,209.43,209.77,210.11,210.45,210.79
FFCCom,Energy,FFC,FFCCom,USA,CO2,MMTCO2e,228.3,232.7,228,223,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229,240.1,238,227.1,211.8,223.1,227.5,227.7,224.3,224.6,200.4,224.3,232.6,244.8,231.9,232.4,246.3,251.7,229.3,237.5,258.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFCElec,Energy,FFC,FFCElec,USA,CO2,MMTCO2e,1820,1817.4,1830.7,1906.2,1930.5,1947.2,2020.2,2087.5,2176.6,2189.7,2296.2,2257.2,2272.2,2303.7,2335.1,2400.1,2344.4,2411.1,2359.3,2145.3,2258.6,2158.1,2023.3,2038.3,2037.2,1900.6,1808.9,1732,1753.4,1606.7,1439.6,1540.9,1531.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFCInd,Energy,FFC,FFCInd,USA,CO2,MMTCO2e,876.5,866.7,889.1,891.2,890.8,907.5,926.7,921.8,905.6,863.6,887.2,866.6,858,852.4,877.4,847.6,868.4,858.6,825,751.9,791.1,793.4,793.9,825.8,820.8,793,788.3,780.4,810.5,809.8,762,780.5,801.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
